Year,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1870,-0.13497369288536498,-0.016648959962510212,-0.2880533380375526,-0.02648210627058186,-0.08689585776128854,-0.08321665385829365,-0.15403523139498318,-0.049136178671484405,-0.09964928420298802,0.10267142082707063,0.008932034877664908,-0.04732103600893991
1871,-0.1114811624829533,0.11992015041772197,-0.1882911117520633,-0.09950314831966547,-0.06312866184238687,-0.03039089182332505,-0.216429662325618,-0.0460520154786125,-0.06071201614282971,-0.09054420338945311,0.012367611047302059,-0.02071023123736425
1872,0.013304253742660426,0.1001900425996723,0.001966835633768376,-0.09744439446771817,-0.03276529209372375,0.012721624046998711,-0.1242596014032768,-0.08651198441084708,0.0023211392823581033,-0.0016355913545799854,0.03918906274749456,0.011403119737806503
1873,0.07167383508997834,0.23876053347231468,-0.014884614772765316,0.07207049455804612,-0.04120850495723918,-0.056370036784195124,-0.1274017343923379,-0.05896472393210984,-0.046885068363711584,0.013559333784185303,-0.0719147559969719,-0.046656580760060996
1874,0.17876817682337912,0.13130224336135118,0.015317146452373021,-0.056361567308484496,-0.010898997442571723,-0.0021367774051924897,0.09954012903108363,0.0883967939789508,0.027700814483050847,0.08681560482103852,-0.03158575569468607,-0.0010482905680827396
1875,0.05736760282356757,0.04890178245224824,-0.037620046368082236,-0.017268658761005785,-0.023400489556397057,-0.09297329512817468,0.1301547210170941,-0.006163744798426317,-0.003048164361843614,-0.03314965170994283,0.027004413063227786,-0.030551374898650955
1876,0.10742874804119053,0.14537582648833342,-0.0623361774744967,-0.03138550772278229,-0.03251744625743652,0.00980632108559038,0.00974407519228256,-0.04414954267068028,0.020518154320772638,0.04463329183907377,-0.028139346617970223,-0.09819200487013045
1877,0.09468639976070065,0.17297240556107463,0.10227496131327622,-0.005150891751292279,-0.03539310368047678,0.0047835569291482865,0.03584640121606178,0.02483550821831076,0.016190037120308955,-0.01713656312958223,0.06975316105062711,-0.06649849489092279
1878,0.19627678141219046,0.21822365563702764,0.01287131282729906,0.043830191867513434,-0.03714497113349797,-0.12520047785823282,-0.0007825538074078394,-0.0758739114237027,0.02218594980022033,0.027423596099546282,-0.03535402209042617,0.03911168177258549
1879,0.12483196556752924,0.13010067999886496,0.10785061517226792,0.05049481967757864,-0.02292887104963298,0.06197579369314536,0.2503229853612615,-0.009012705763398708,0.027150058491851,-0.02264482641609741,0.028138752395201833,0.06833147310636749
1880,0.10757345111559002,0.08038256110267238,0.29062998180742555,0.10230877051547796,-0.020100615992540847,0.06020313886280849,0.049167962683670845,0.016430852296249666,0.05601315482579433,0.07903876666099577,0.08752410266171613,0.05700101309021231
1881,0.1508269899930421,0.225341226370834,0.09436504408842593,0.03111986011442481,-0.0005438571558335374,-0.0793277749710407,0.07675556774766108,0.15915470203145676,0.09071162248844056,0.03910449912189139,0.011816328695986873,-0.10366712256464099
1882,0.009906634077177045,0.09858324521743092,-0.01222378359408535,0.04065153198911239,0.05032461344905313,0.023495078770898875,0.02983756797344012,0.07400697440936461,0.08099332177548237,0.09564823163666658,-0.05713803420063403,-0.03340898603645206
1883,0.06670974400852223,0.05783974665256562,0.0393472950936235,0.06282987714492169,0.06426449547254737,0.12196376948700068,0.2402298739951136,-0.1891666653791674,0.003973295470479273,0.06938218291801633,-0.024470450318626314,-0.09908080138642067
1884,0.12649794157467428,0.033845615114642874,0.0013090794507324393,0.1057194798044287,0.0571589177380525,-0.005438696532664234,0.1804847441643935,-0.12634515177884384,0.03395474405793973,0.08690242615713244,-0.1323892174989802,0.019188289054932216
1885,-0.001655288351162273,-0.02926555555032671,0.20988137076544564,0.02197683607032156,0.04265476167890914,0.020943644633701897,-0.09103761136820504,0.05963866909457612,0.11132348142808546,0.12769077567568032,-0.10337000588726765,0.12217961706505893
1886,0.006290549654366839,0.08144089751586549,0.21552466982501137,0.053454599303942314,0.07639623889373803,-0.015171446683093929,0.16104220930284852,0.1096670925016896,0.14598237030897865,0.292394856413484,-0.03860018242182351,0.18699802221842024
1887,-0.004655853779705257,0.021513008003709554,0.10257983329889947,0.14517932400225833,0.06602008200402222,-0.07608713716947398,0.39994408014649646,-0.05352625845734388,0.10387450523150822,0.29269061651383965,-0.020466451919397104,0.12072571214858664
1888,-0.04077743320553151,0.12110978075663417,0.11026749012407892,0.11406076928288432,0.09011209675767247,0.000774815661484555,-0.0307978832536691,0.001738898322308785,0.14518625669171972,0.14306438917433234,-0.10954781204882309,-0.003114132435820075
